제작자,차명,생산기간(부터),생산기간(까지),리콜개시일,리콜대수,리콜사유,시정대수,시정율(퍼센트)
메르세데스벤츠코리아(주),C220 BLUETEC,2014-05-21,2014-10-21,2014-12-29,1,차량이 일정 거리를 주행한 이후 컨트롤 유닛 내부 이상으로 인해 전동식 파워 스티어링 조향 보조 기능이 비활성화 될 수 있음,1,100
메르세데스벤츠코리아(주),GLK220 CDI 4MATIC,2014-02-28,2014-11-10,2014-12-29,910,특정기간에 제작된 타이밍 체인 텐셔너 가스켓의 재질적인 공차로 인하여 타이밍 체인의 프리 텐션에 부정적인 영향을 주어 체인텐셔너 가스켓의 엔진 오일 실링 기능이 저하될 뿐만 아니라 체인 텐셔너가 풀릴수 도 있음,910,100
메르세데스벤츠코리아(주),GLA200 CDI,2014-02-28,2014-11-10,2014-12-29,515,특정기간에 제작된 타이밍 체인 텐셔너 가스켓의 재질적인 공차로 인하여 타이밍 체인의 프리 텐션에 부정적인 영향을 주어 체인텐셔너 가스켓의 엔진 오일 실링 기능이 저하될 뿐만 아니라 체인 텐셔너가 풀릴수 도 있음,515,100
메르세데스벤츠코리아(주),E300 BLUETEC HYBRID,2014-02-28,2014-11-10,2014-12-29,17,특정기간에 제작된 타이밍 체인 텐셔너 가스켓의 재질적인 공차로 인하여 타이밍 체인의 프리 텐션에 부정적인 영향을 주어 체인텐셔너 가스켓의 엔진 오일 실링 기능이 저하될 뿐만 아니라 체인 텐셔너가 풀릴수 도 있음,17,100
메르세데스벤츠코리아(주),E220 CDI,2014-02-28,2014-11-10,2014-12-29,3193,특정기간에 제작된 타이밍 체인 텐셔너 가스켓의 재질적인 공차로 인하여 타이밍 체인의 프리 텐션에 부정적인 영향을 주어 체인텐셔너 가스켓의 엔진 오일 실링 기능이 저하될 뿐만 아니라 체인 텐셔너가 풀릴수 도 있음,3192,99.97
메르세데스벤츠코리아(주),GLA200 CDI 4MATIC,2014-02-28,2014-11-10,2014-12-29,1,특정기간에 제작된 타이밍 체인 텐셔너 가스켓의 재질적인 공차로 인하여 타이밍 체인의 프리 텐션에 부정적인 영향을 주어 체인텐셔너 가스켓의 엔진 오일 실링 기능이 저하될 뿐만 아니라 체인 텐셔너가 풀릴수 도 있음,1,100
메르세데스벤츠코리아(주),E250 BLUETEC 4MATIC,2014-02-28,2014-11-10,2014-12-29,53,특정기간에 제작된 타이밍 체인 텐셔너 가스켓의 재질적인 공차로 인하여 타이밍 체인의 프리 텐션에 부정적인 영향을 주어 체인텐셔너 가스켓의 엔진 오일 실링 기능이 저하될 뿐만 아니라 체인 텐셔너가 풀릴수 도 있음,53,100
메르세데스벤츠코리아(주),CLS250 BLUETEC 4MATIC,2014-02-28,2014-11-10,2014-12-29,20,특정기간에 제작된 타이밍 체인 텐셔너 가스켓의 재질적인 공차로 인하여 타이밍 체인의 프리 텐션에 부정적인 영향을 주어 체인텐셔너 가스켓의 엔진 오일 실링 기능이 저하될 뿐만 아니라 체인 텐셔너가 풀릴수 도 있음,20,100
메르세데스벤츠코리아(주),E250 CDI 4MATIC,2014-02-28,2014-11-10,2014-12-29,2336,특정기간에 제작된 타이밍 체인 텐셔너 가스켓의 재질적인 공차로 인하여 타이밍 체인의 프리 텐션에 부정적인 영향을 주어 체인텐셔너 가스켓의 엔진 오일 실링 기능이 저하될 뿐만 아니라 체인 텐셔너가 풀릴수 도 있음,2336,100
메르세데스벤츠코리아(주),E220 BLUETEC,2014-02-28,2014-11-10,2014-12-29,35,특정기간에 제작된 타이밍 체인 텐셔너 가스켓의 재질적인 공차로 인하여 타이밍 체인의 프리 텐션에 부정적인 영향을 주어 체인텐셔너 가스켓의 엔진 오일 실링 기능이 저하될 뿐만 아니라 체인 텐셔너가 풀릴수 도 있음,35,100
메르세데스벤츠코리아(주),CLS250 CDI,2014-02-28,2014-11-10,2014-12-29,47,특정기간에 제작된 타이밍 체인 텐셔너 가스켓의 재질적인 공차로 인하여 타이밍 체인의 프리 텐션에 부정적인 영향을 주어 체인텐셔너 가스켓의 엔진 오일 실링 기능이 저하될 뿐만 아니라 체인 텐셔너가 풀릴수 도 있음,47,100
메르세데스벤츠코리아(주),C220 BLUETEC,2014-02-28,2014-11-10,2014-12-29,2262,특정기간에 제작된 타이밍 체인 텐셔너 가스켓의 재질적인 공차로 인하여 타이밍 체인의 프리 텐션에 부정적인 영향을 주어 체인텐셔너 가스켓의 엔진 오일 실링 기능이 저하될 뿐만 아니라 체인 텐셔너가 풀릴수 도 있음,2262,100
메르세데스벤츠코리아(주),C250 BLUETEC 4MATIC,2014-02-28,2014-11-10,2014-12-29,5,특정기간에 제작된 타이밍 체인 텐셔너 가스켓의 재질적인 공차로 인하여 타이밍 체인의 프리 텐션에 부정적인 영향을 주어 체인텐셔너 가스켓의 엔진 오일 실링 기능이 저하될 뿐만 아니라 체인 텐셔너가 풀릴수 도 있음,5,100
메르세데스벤츠코리아(주),CLA200 CDI,2014-02-28,2014-11-10,2014-12-29,333,특정기간에 제작된 타이밍 체인 텐셔너 가스켓의 재질적인 공차로 인하여 타이밍 체인의 프리 텐션에 부정적인 영향을 주어 체인텐셔너 가스켓의 엔진 오일 실링 기능이 저하될 뿐만 아니라 체인 텐셔너가 풀릴수 도 있음,333,100
메르세데스벤츠코리아(주),A200 CDI,2014-02-28,2014-11-10,2014-12-29,118,특정기간에 제작된 타이밍 체인 텐셔너 가스켓의 재질적인 공차로 인하여 타이밍 체인의 프리 텐션에 부정적인 영향을 주어 체인텐셔너 가스켓의 엔진 오일 실링 기능이 저하될 뿐만 아니라 체인 텐셔너가 풀릴수 도 있음,118,100
메르세데스벤츠코리아(주),C220 CDI COUPE,2014-02-28,2014-11-10,2014-12-29,20,특정기간에 제작된 타이밍 체인 텐셔너 가스켓의 재질적인 공차로 인하여 타이밍 체인의 프리 텐션에 부정적인 영향을 주어 체인텐셔너 가스켓의 엔진 오일 실링 기능이 저하될 뿐만 아니라 체인 텐셔너가 풀릴수 도 있음,20,100
메르세데스벤츠코리아(주),B200 CDI,2014-02-28,2014-11-10,2014-12-29,242,특정기간에 제작된 타이밍 체인 텐셔너 가스켓의 재질적인 공차로 인하여 타이밍 체인의 프리 텐션에 부정적인 영향을 주어 체인텐셔너 가스켓의 엔진 오일 실링 기능이 저하될 뿐만 아니라 체인 텐셔너가 풀릴수 도 있음,242,100
쌍용자동차(주),카이런(전륜),2005-06-01,2008-01-08,2014-12-26,33069,일부 노후 차량에서 유격 발생에 의한 볼조인트 이탈,32035,96.87
쌍용자동차(주),카이런(후륜),2008-01-09,2010-11-17,2014-12-26,716,일부 노후 차량에서 유격 발생에 의한 볼조인트 이탈,697,97.35
쌍용자동차(주),렉스턴(전륜),2006-04-01,2008-01-08,2014-12-26,5704,일부 노후 차량에서 유격 발생에 의한 볼조인트 이탈,5512,96.63
쌍용자동차(주),액티언(전륜),2005-10-01,2008-01-08,2014-12-26,28724,일부 노후 차량에서 유격 발생에 의한 볼조인트 이탈,27568,95.98
쌍용자동차(주),카이런(전+후륜),2005-06-01,2008-01-08,2014-12-26,3528,일부 노후 차량에서 유격 발생에 의한 볼조인트 이탈,3440,97.51
쌍용자동차(주),렉스턴(전+후륜),2006-04-01,2008-01-08,2014-12-26,10860,일부 노후 차량에서 유격 발생에 의한 볼조인트 이탈,10639,97.97
쌍용자동차(주),렉스턴(후륜),2008-01-09,2010-11-17,2014-12-26,3251,일부 노후 차량에서 유격 발생에 의한 볼조인트 이탈,3036,93.39
쌍용자동차(주),액티언 스포츠(전륜),2005-05-01,2008-01-08,2014-12-26,27068,일부 노후 차량에서 유격 발생에 의한 볼조인트 이탈,25916,95.74
쌍용자동차(주),코란도 스포츠,2006-04-01,2008-01-08,2014-12-26,18890,연료소비율 안전기준(제111조의4) 부적합,18890,100
폭스바겐그룹코리아 주식회사,Allroad Quattro 2.7T,2002-03-27,2005-03-01,2013-10-14,73,롤오버 밸브와 벤틸레이션 라인 연결부위에 균열이 발생하여 연료가 누유되는 경우 화재가 발생할 수 있어 안전운행에 지장,63,86.3
폭스바겐그룹코리아 주식회사,A6 2.4Q,2001-07-20,2004-02-11,2013-10-14,420,롤오버 밸브와 벤틸레이션 라인 연결부위에 균열이 발생하여 연료가 누유되는 경우 화재가 발생할 수 있어 안전운행에 지장,362,86.19
폭스바겐그룹코리아 주식회사,A6 3.0Q,2001-09-05,2004-02-04,2013-10-14,251,롤오버 밸브와 벤틸레이션 라인 연결부위에 균열이 발생하여 연료가 누유되는 경우 화재가 발생할 수 있어 안전운행에 지장,200,79.68
폭스바겐그룹코리아 주식회사,A6 2.7Q,2003-07-25,2003-11-18,2013-10-14,35,롤오버 밸브와 벤틸레이션 라인 연결부위에 균열이 발생하여 연료가 누유되는 경우 화재가 발생할 수 있어 안전운행에 지장,29,82.86
혼다코리아(주),SUPER CUB,2013-05-21,2013-07-22,2013-10-10,615,연료펌프 내 브라킷 재질불량으로 부풀어 올라 펌프 내 임펠러와 간섭이 발생할 수 있고 이경우 임펠러가 작동되지 않아 연료가 공급되지 않을 가능성이 있어 안전운행 지장,596,96.91
기아주식회사,포르테,2008-08-01,2010-09-06,2013-10-01,61870,브레이크 스위치의 접촉 불량으로 인해 시동 불량과 제동등 점등 불량을 유발함은 물론 정속주행장치 및 차체자세제어장치가 정상적으로 작동되지 않을 수 있어 안전운행에 지장,59099,95.52
기아주식회사,로체,2008-05-01,2010-04-28,2013-10-01,26131,브레이크 스위치의 접촉 불량으로 인해 시동 불량과 제동등 점등 불량을 유발함은 물론 정속주행장치 및 차체자세제어장치가 정상적으로 작동되지 않을 수 있어 안전운행에 지장,24696,94.51
기아주식회사,오피러스,2008-03-01,2009-06-29,2013-10-01,18031,브레이크 스위치의 접촉 불량으로 인해 시동 불량과 제동등 점등 불량을 유발함은 물론 정속주행장치 및 차체자세제어장치가 정상적으로 작동되지 않을 수 있어 안전운행에 지장,17149,95.11
기아주식회사,그랜드 카니발,2007-06-21,2010-12-01,2013-10-01,4723,브레이크 스위치의 접촉 불량으로 인해 시동 불량과 제동등 점등 불량을 유발함은 물론 정속주행장치 및 차체자세제어장치가 정상적으로 작동되지 않을 수 있어 안전운행에 지장,4489,95.05
기아주식회사,K5,2010-05-03,2011-04-24,2013-10-01,63096,브레이크 스위치의 접촉 불량으로 인해 시동 불량과 제동등 점등 불량을 유발함은 물론 정속주행장치 및 차체자세제어장치가 정상적으로 작동되지 않을 수 있어 안전운행에 지장,62431,98.95
기아주식회사,스포티지,2010-01-28,2011-06-08,2013-10-01,49711,브레이크 스위치의 접촉 불량으로 인해 시동 불량과 제동등 점등 불량을 유발함은 물론 정속주행장치 및 차체자세제어장치가 정상적으로 작동되지 않을 수 있어 안전운행에 지장,48278,97.12
기아주식회사,모하비,2007-11-01,2011-03-13,2013-10-01,22551,브레이크 스위치의 접촉 불량으로 인해 시동 불량과 제동등 점등 불량을 유발함은 물론 정속주행장치 및 차체자세제어장치가 정상적으로 작동되지 않을 수 있어 안전운행에 지장,22001,97.56
스텔란티스코리아주식회사,다코타,2009-07-01,2009-11-30,2013-08-16,27,차동장치 결함으로 엔진의 힘이 바퀴로 전달되지 않아 주행이 되지 않을 수 있어 안전운행 지장,20,74.07
대전기계공업(주),Vulcan 1700 Voyager,2009-02-02,2015-03-20,2015-10-26,26,엔진 점화장치의 배선과 연료탱크의 마찰로 배선 일부가 손상되어 주행 중 시동이 꺼져 안전운행에 지장을 줄 가능성,14,53.85
현대자동차(주),그랜드스타렉스,2015-09-04,2015-09-09,2015-10-26,22,운전석 옆 좌석 에어백 내부 결함*으로 에어백 전개 시 비정상적으로 전개되어 안전운행에 지장을 줄 가능성,18,81.82
폭스바겐그룹코리아 주식회사,Tiguan 2.0 TDI Allspace,2018-03-20,2018-04-09,2018-08-24,85,"특정 기간 동안 제조사의 에어백 포장 설비의 작동 프로그램 오류로 인해 장비 내 에어백 위치가 부적절한 상태로 에어백이 포장되어, 에어백 전개시, 적절하게 전개되지 않거나 에어백이 찢어질 가능성이 있습니다.",85,100
(주)재규어랜드로버코리아,재규어 XF 디젤,2015-04-01,2016-02-25,2016-05-12,157,연료필터와 연료공급호스를 연결하는 부품의 설계 결함으로 호스가 이탈되어 연료가 샐 경우 시동 꺼짐 및 화재발생 가능성 발견,157,100
(주)재규어랜드로버코리아,재규어 XE 디젤,2014-11-04,2016-02-25,2016-05-12,2174,연료필터와 연료공급호스를 연결하는 부품의 설계 결함으로 호스가 이탈되어 연료가 샐 경우 시동 꺼짐 및 화재발생 가능성 발견,2117,97.38
메르세데스벤츠코리아(주),SLK 200,2015-04-29,2015-07-23,2016-05-12,26,"배선 설계 오류로 인해 예비전원이 공급되지 않을 경우, P단 기어 변속과 주차브레이크가 작동하지 않아 경사로 등에서 주·정차시 차량이 움직이며 사고가 발생할 가능성 발견",26,100
한국토요타자동차(주),렉서스 ES350,2015-09-10,2016-02-18,2016-05-04,229,브레이크 액츄에이터(유압조정장치) 제작결함으로 인해 차량 안정성이 저하되고 제동거리가 늘어날 가능성,228,99.56
혼다코리아(주),X-ADV,2017-03-02,2018-10-04,2018-12-12,441,엔진컨트롤유닛(ECU) 내부 부품 (과전류 보호 소자)의 열화로 인해 변속기의 샤프트 속도 센서로의 전원 공급이 차단되어 변속이 불가해진다.,421,95.46
메르세데스벤츠코리아(주),GLA 250 4MATIC,2018-07-11,2018-07-16,2019-04-05,3,"특정 대상차량에 파노라믹 선루프 접착제가 제대로 도포되지 않은 경우 약간의 누수가 발생할 수 있습니다. 윈도우 에어백 근처에 습기가 차게 되면, 이로 인한 점화 장치 손상이 발생할 수 있고 이는 윈도우 에어백이 의도대로 전개되지 않을 수 있습니다.",3,100
메르세데스벤츠코리아(주),GLA 220,2018-06-25,2018-07-18,2019-04-05,26,"특정 대상차량에 파노라믹 선루프 접착제가 제대로 도포되지 않은 경우 약간의 누수가 발생할 수 있습니다. 윈도우 에어백 근처에 습기가 차게 되면, 이로 인한 점화 장치 손상이 발생할 수 있고 이는 윈도우 에어백이 의도대로 전개되지 않을 수 있습니다.",24,92.31
다임러트럭코리아(주),아록스,2017-08-02,2018-08-07,2019-03-04,313,차량 앞부분 코너에 장착된 에어스포일러를 고정하는 고정핀 불량으로 운행시 코너부 에어스포일러가 떨어질 수 있습니다.,305,97.44
다임러트럭코리아(주),악트로스,2017-08-03,2017-09-25,2019-03-04,8,차량 앞부분 코너에 장착된 에어스포일러를 고정하는 고정핀 불량으로 운행시 코너부 에어스포일러가 떨어질 수 있습니다.,8,100
한불모터스(주),Peugeot 308 2.0 Blue-HDi,2014-01-15,2015-04-29,2018-03-29,362,냉각수 라인 작업 후 추가된 에어빼기 작업을 정확하게 준수 하여 작업하지 않을 경우 에어빼기가 정상적으로 이루어지지 않아 냉각수 온도 센서가 실제 냉각수 온도가 아닌 공기의 온도를 측정하게 되어 엔진 ECU에서 엔진 과열방지 시스템이 늦게 작동함으로 인하여 엔진이 과열되어 엔진 오일섬프 변형을 유발할 수 있으며 그로 인하여 엔진오일 드레인 코크에서 엔진오일이 누유 되어 따라오는 차량의 안전운행에 지장을 줄 수 있으며 엔진오일 누유로 엔진오일이 소진된 상태에서 주행을 할 경우 엔진이 파손되고 그로 인해 엔진 시동이 꺼질 수 있는 가능성,344,95.03
